SiteNo,Latitude,Longtitude,Date,Water.status
N9_8,-28.19639,152.673599,3/09/2018,0
N9_9,-27.809949,152.847527,31/08/2018,0.06
N9_10,-28.249802,152.992773,3/09/2018,1
N9_11,-28.257444,153.015985,3/09/2018,1
N9_12,-27.203674,152.13372,2/09/2018,0.1
N9_13,-27.254739,152.052157,2/09/2018,0.3
N9_14,-27.265342,152.057326,2/09/2018,0.4
N9_15,-26.919494,152.772838,29/08/2018,1
N9_16,-26.866047,152.781462,29/08/2018,1
N9_17,-26.860947,152.821401,29/08/2018,1
N9_18,-26.822911,152.839999,29/08/2018,1
N9_19,-26.814183,152.837053,29/08/2018,1
N9_20,-26.813102,152.840661,29/08/2018,1
N9_21,-26.831056,152.878529,29/08/2018,1
N9_22,-27.014756,152.752406,29/08/2018,1
N9_23,-27.052695,152.768829,29/08/2018,1
N9_24,-27.370064,152.126472,2/09/2018,0
N9_26,-27.359177,152.322155,2/09/2018,1
N9_27,-27.814326,152.362309,30/08/2018,0
N9_28,-27.797608,152.366457,30/08/2018,0
N9_29,-27.724729,152.330499,30/08/2018,0
N9_30,-27.722706,152.222509,30/08/2018,0
N9_31,-27.987353,152.455063,30/08/2018,1
N9_32,-27.770958,152.842696,31/08/2018,1
N9_33,-27.84452,152.880216,31/08/2018,0.9
N9_34,-28.085471,153.021107,3/09/2018,1
N9_35,-28.149328,153.041296,3/09/2018,0.1
N9_36,-28.225102,153.029354,3/09/2018,1
N9_37,-27.452954,152.075625,2/09/2018,0
N11_1,-28.125841,153.187967,1/11/2018,1
N11_2,-28.062616,153.191782,1/11/2018,1
N11_3,-27.732695,152.946333,1/11/2018,1
N11_4,-27.55118,152.023516,3/11/2018,0
N11_5,-27.538468,152.022143,3/11/2018,0
N11_6,-27.527565,152.02571,3/11/2018,1
N11_7,-27.512227,152.026139,3/11/2018,0.6
N11_8,-27.52935,152.193457,3/11/2018,0
N11_9,-27.507212,152.081005,3/11/2018,1
N11_10,-27.558028,152.062973,3/11/2018,0
N11_11,-27.539466,152.121416,3/11/2018,0
N11_12,-27.540503,152.126244,3/11/2018,0
N11_13,-26.820541,152.14159,4/11/2018,0
N11_14,-26.867249,152.524303,4/11/2018,1
N11_15,-26.842924,152.482706,4/11/2018,1
N11_16,-26.817202,152.496326,4/11/2018,1
N11_17,-27.885575,152.73991,1/11/2018,0.1
N11_18,-27.8727,152.738829,1/11/2018,1
N11_19,-27.818163,152.754149,1/11/2018,1
N11_20,-28.039241,152.67564,1/11/2018,1
N11_21,-27.159106,151.893861,5/11/2018,0
N11_22,-27.181138,151.922553,5/11/2018,0.4
N11_23,-27.170485,151.926777,5/11/2018,1
N11_24,-27.333278,152.168792,5/11/2018,1
N11_25,-27.250971,152.103721,5/11/2018,0.01
N11_26,-27.577227,152.147912,3/11/2018,0.1
N11_27,-27.173743,151.923326,5/11/2018,1
